ORIGIN_AIRPORT_ID,ORIGIN
14025,PBG
12265,IAG
15582,VEL
12129,HIB
12343,INL
14113,PIH
10930,CEC
14520,RHI
12335,IMT
13127,LWS
11898,GFK
11076,CMX
12519,JMS
12156,HLN
14487,RDD
14006,PAH
13388,MMH
15041,SUN
14489,RDM
11648,FCA
15008,STC
11471,EAU
12255,HYS
10561,BFL
16218,YUM
11092,CNY
10141,ABR
10333,APN
10631,BJI
10739,BRD
10779,BTM
10918,CDC
11097,COD
11122,CPR
11525,EKO
14543,RKS
11865,GCC
11603,EUG
11587,ESC
14794,SGU
15389,TWF
13964,OTH
14905,SMX
12888,LAR
13344,MKG
14288,PUB
11041,CLD
10157,ACV
13476,MRY
14698,SBP
11695,FLG
11447,DVL
11013,CIU
14150,PLN
12003,GTF
12016,GUM
13264,MFR
13241,MEI
14109,PIB
12177,HOB
11617,EWN
13184,MBS
11150,CSG
15607,VLD
10146,ABY
10731,BQK
13795,OAJ
11308,DHN
12007,GTR
12884,LAN
14711,SCE
10747,BRO
14696,SBN
11577,ERI
11537,ELM
14098,PHF
12280,IDA
14689,SBA
13029,LNK
14222,PPG
12915,LCH
12320,ILG
15497,UST
15356,TTN
13459,MQT
11905,GGG
11867,GCK
11980,GRI
15048,SUX
14633,RST
10728,BPT
11203,CWA
12511,JLN
10155,ACT
11778,FSM
10685,BMI
13290,MHK
14952,SPI
10268,ALO
13433,MOT
11315,DIK
11413,DRO
11921,GJT
14457,RAP
12389,ISN
10372,ASE
15411,TYR
10185,AEX
15380,TVC
11049,CLL
13367,MLI
11823,FWA
11067,CMI
12891,LAW
14960,SPS
10136,ABI
15295,TOL
13076,LSE
13061,LRD
11274,DBQ
15401,TXK
11003,CID
11111,COU
10469,AZO
14674,SAF
13277,MGM
14842,SJT
14588,ROW
10158,ACY
14108,PIA
11982,GRK
13377,MLU
12898,LBE
12402,ITO
11140,CRP
12206,HRL
12391,ISP
12896,LBB
13158,MAF
10279,AMA
11638,FAT
13256,MFE
12012,GUC
10165,ADK
10170,ADQ
10551,BET
14709,SCC
10754,BRW
15841,WRG
14256,PSG
15991,YAK
10926,CDV
12819,KTN
14828,SIT
12523,JNU
13873,OME
13970,OTZ
11630,FAI
10666,BLI
10800,BUR
15070,SWF
14254,PSE
10732,BQN
10785,BTV
13933,ORH
12197,HPN
12954,LGB
11977,GRB
10434,AVP
15027,STX
12094,HDN
13502,MTJ
13577,MYR
12951,LFT
12982,LIH
13891,ONT
14262,PSP
13296,MHT
12323,ILM
12441,JAC
14321,PWM
13360,MLB
14783,SGF
11612,EVV
15919,XNA
10408,ATW
10990,CHO
11109,COS
10208,AGS
15096,SYR
11267,DAY
13851,OKC
13230,MDT
11637,FAR
11884,GEG
10135,ABE
11775,FSD
10849,BZN
11337,DLH
14252,PSC
14570,RNO
11146,CRW
10257,ALB
11423,DSM
12478,JFK
11481,ECP
15024,STT
13422,MOB
11298,DFW
11540,ELP
14908,SNA
14683,SAT
11721,FNT
14843,SJU
14679,SAN
15323,TRI
14831,SJC
10431,AVL
10299,ANC
12945,LEX
13232,MDW
10868,CAE
10713,BOI
11503,EGE
14027,PBI
15249,TLH
14057,PDX
10627,BIS
13244,MEM
12448,JAN
12953,LGA
11953,GNV
15376,TUS
13486,MSO
11193,CVG
15624,VPS
14307,PVD
12451,JAX
11252,DAB
13342,MKE
10529,BDL
14122,PIT
12758,KOA
14986,SRQ
14730,SDF
10423,AUS
10792,BUF
14524,RIC
10980,CHA
10721,BOS
13871,OMA
10874,CAK
15412,TYS
14193,PNS
11624,EYW
11618,EWR
15370,TUL
14576,ROC
13198,MCI
11973,GPT
11996,GSP
13931,ORF
10599,BHM
12217,HSV
14814,SHV
12191,HOU
12278,ICT
13830,OGG
14893,SMF
10620,BIL
13796,OAK
11292,DEN
10693,BNA
11066,CMH
14574,ROA
14771,SFO
10781,BTR
15016,STL
13204,MCO
11259,DAL
13485,MSN
12173,HNL
12264,IAD
11278,DCA
10821,BWI
11986,GRR
12266,IAH
14107,PHX
11697,FLL
11641,FAY
12889,LAS
10140,ABQ
12892,LAX
14747,SEA
11057,CLT
13303,MIA
15304,TPA
13495,MSY
10994,CHS
13487,MSP
11995,GSO
11042,CLE
14685,SAV
13930,ORD
10397,ATL
14100,PHL
11433,DTW
14635,RSW
12992,LIT
14492,RDU
14869,SLC
12339,IND
10577,BGM
10581,BGR
12379,ITH
